date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-May-21,Punjab,four wheelers,0,5202
01-May-21,Tripura,two wheelers,0,2063
01-May-21,Tripura,four wheelers,0,192
01-May-21,Uttarakhand,four wheelers,0,1145
01-Jun-21,Andaman & Nicobar Island,two wheelers,0,2
01-Jun-21,Arunachal Pradesh,two wheelers,0,727
01-Jun-21,Arunachal Pradesh,four wheelers,0,565
01-Jun-21,Ladakh,two wheelers,0,3
01-Jun-21,Ladakh,four wheelers,0,112
01-Jun-21,Manipur,two wheelers,0,89
01-Jun-21,Manipur,four wheelers,0,18
01-Jun-21,Meghalaya,two wheelers,0,354
01-Jun-21,Meghalaya,four wheelers,0,246
01-Jun-21,Mizoram,two wheelers,0,648
01-Jun-21,Mizoram,four wheelers,0,298
01-Jun-21,Nagaland,two wheelers,0,42
01-Jun-21,Nagaland,four wheelers,0,54
01-Jun-21,Puducherry,four wheelers,0,445
01-Jun-21,Tripura,four wheelers,0,185
01-Jul-21,Andaman & Nicobar Island,two wheelers,0,467
01-Jul-21,Arunachal Pradesh,two wheelers,0,994
01-Jul-21,Arunachal Pradesh,four wheelers,0,661
01-Jul-21,Assam,four wheelers,0,4988
01-Jul-21,DNH and DD,four wheelers,0,276
01-Jul-21,Ladakh,two wheelers,0,51
01-Jul-21,Ladakh,four wheelers,0,552
01-Jul-21,Manipur,two wheelers,0,474
01-Jul-21,Manipur,four wheelers,0,68
01-Jul-21,Meghalaya,two wheelers,0,726
01-Jul-21,Mizoram,two wheelers,0,1096
01-Jul-21,Mizoram,four wheelers,0,219
01-Jul-21,Nagaland,two wheelers,0,583
01-Jul-21,Nagaland,four wheelers,0,1039
01-Jul-21,Puducherry,four wheelers,0,866
01-Jul-21,Tripura,two wheelers,0,2211
01-Jul-21,Tripura,four wheelers,0,352
01-Aug-21,Andaman & Nicobar Island,two wheelers,0,406
01-Aug-21,Arunachal Pradesh,two wheelers,0,1126
01-Aug-21,Arunachal Pradesh,four wheelers,0,758
01-Aug-21,DNH and DD,four wheelers,0,321
01-Aug-21,Himachal Pradesh,four wheelers,0,3641
01-Aug-21,Jammu and Kashmir,four wheelers,0,5430
01-Aug-21,Ladakh,two wheelers,0,30
01-Aug-21,Ladakh,four wheelers,0,459
01-Aug-21,Manipur,two wheelers,0,1016
01-Aug-21,Manipur,four wheelers,0,561
01-Aug-21,Meghalaya,two wheelers,0,1041
01-Aug-21,Meghalaya,four wheelers,0,826
01-Aug-21,Mizoram,two wheelers,0,1057
01-Aug-21,Mizoram,four wheelers,0,240
01-Aug-21,Nagaland,two wheelers,0,577
01-Aug-21,Nagaland,four wheelers,0,763
01-Aug-21,Tripura,two wheelers,0,2462
01-Aug-21,Tripura,four wheelers,0,462
01-Sep-21,Andaman & Nicobar Island,two wheelers,0,329
01-Sep-21,Andaman & Nicobar Island,four wheelers,0,87
01-Sep-21,Arunachal Pradesh,two wheelers,0,1260
01-Sep-21,Arunachal Pradesh,four wheelers,0,637
01-Sep-21,Assam,four wheelers,0,6036
01-Sep-21,DNH and DD,four wheelers,0,348
01-Sep-21,Ladakh,two wheelers,0,26
01-Sep-21,Ladakh,four wheelers,0,444
01-Sep-21,Manipur,two wheelers,0,3492
01-Sep-21,Manipur,four wheelers,0,1202
01-Sep-21,Meghalaya,two wheelers,0,1396
01-Sep-21,Meghalaya,four wheelers,0,905
01-Sep-21,Mizoram,two wheelers,0,1465
01-Sep-21,Mizoram,four wheelers,0,264
01-Sep-21,Nagaland,four wheelers,0,681
01-Sep-21,Tripura,two wheelers,0,2736
01-Sep-21,Tripura,four wheelers,0,403
01-Oct-21,Andaman & Nicobar Island,two wheelers,0,360
01-Oct-21,Arunachal Pradesh,two wheelers,0,1109
01-Oct-21,Arunachal Pradesh,four wheelers,0,570
01-Oct-21,Assam,four wheelers,0,5877
01-Oct-21,Ladakh,four wheelers,0,289
01-Oct-21,Manipur,four wheelers,0,916
01-Oct-21,Meghalaya,two wheelers,0,1414
01-Oct-21,Meghalaya,four wheelers,0,722
01-Oct-21,Mizoram,two wheelers,0,1886
01-Oct-21,Mizoram,four wheelers,0,283
01-Oct-21,Nagaland,two wheelers,0,650
01-Oct-21,Nagaland,four wheelers,0,567
01-Oct-21,Puducherry,four wheelers,0,609
01-Oct-21,Tripura,two wheelers,0,3015
01-Oct-21,Tripura,four wheelers,0,366
01-Nov-21,Andaman & Nicobar Island,two wheelers,0,413
01-Nov-21,Andaman & Nicobar Island,four wheelers,0,125
01-Nov-21,Arunachal Pradesh,two wheelers,0,1262
01-Nov-21,Arunachal Pradesh,four wheelers,0,646
01-Nov-21,Assam,four wheelers,0,5618
01-Nov-21,DNH and DD,four wheelers,0,330
01-Nov-21,Himachal Pradesh,four wheelers,0,4496
01-Nov-21,Jammu and Kashmir,four wheelers,0,4709
01-Nov-21,Ladakh,two wheelers,0,28
01-Nov-21,Ladakh,four wheelers,0,287
01-Nov-21,Manipur,four wheelers,0,875
01-Nov-21,Meghalaya,two wheelers,0,1442
01-Nov-21,Meghalaya,four wheelers,0,806
01-Nov-21,Mizoram,two wheelers,0,1820
01-Nov-21,Mizoram,four wheelers,0,328
01-Nov-21,Nagaland,two wheelers,0,592
01-Nov-21,Nagaland,four wheelers,0,692
01-Nov-21,Tripura,two wheelers,0,3843
01-Nov-21,Tripura,four wheelers,0,326
01-Dec-21,Andaman & Nicobar Island,two wheelers,0,376
01-Dec-21,Arunachal Pradesh,two wheelers,0,1036
01-Dec-21,Arunachal Pradesh,four wheelers,0,709
01-Dec-21,Jammu and Kashmir,four wheelers,0,5306
01-Dec-21,Ladakh,two wheelers,0,15
01-Dec-21,Ladakh,four wheelers,0,167
01-Dec-21,Manipur,four wheelers,0,849
01-Dec-21,Meghalaya,two wheelers,0,1101
01-Dec-21,Meghalaya,four wheelers,0,888
01-Dec-21,Mizoram,two wheelers,0,1740
01-Dec-21,Mizoram,four wheelers,0,376
