date,vehicle_category,maker,electric_vehicles_sold
01-Jan-23,two wheelers,ATHER,9224
01-Jan-23,two wheelers,BAJAJ,2252
01-Jan-23,two wheelers,OKAYA EV,1265
01-Jan-23,two wheelers,REVOLT,14
01-Jan-23,two wheelers,PURE EV,717
01-Jan-23,two wheelers,BEING,571
01-Jan-23,two wheelers,JITENDRA,522
01-Jan-23,two wheelers,OTHERS,4241
01-Jan-24,two wheelers,OLA ELECTRIC,32275
01-Jan-24,two wheelers,TVS,15153
01-Jan-24,two wheelers,ATHER,9244
01-Jan-24,two wheelers,BAJAJ,10753
01-Jan-24,two wheelers,AMPERE,2505
01-Jan-24,two wheelers,OKINAWA,675
01-Jan-24,two wheelers,HERO ELECTRIC,413
01-Jan-24,two wheelers,OKAYA EV,574
01-Jan-24,two wheelers,BGAUSS,1469
01-Jan-24,two wheelers,BATTRE ELECTRIC,284
01-Jan-24,two wheelers,KINETIC GREEN,810
01-Jan-24,two wheelers,REVOLT,524
01-Jan-24,two wheelers,OTHERS,6664
01-Feb-22,two wheelers,HERO ELECTRIC,7773
01-Feb-22,two wheelers,OKINAWA,6122
01-Feb-22,two wheelers,AMPERE,4431
01-Feb-22,two wheelers,ATHER,2232
01-Feb-22,two wheelers,PURE EV,1428
01-Feb-22,two wheelers,OLA ELECTRIC,3911
01-Feb-22,two wheelers,TVS,1560
01-Feb-22,two wheelers,REVOLT,1128
01-Feb-22,two wheelers,BAJAJ,1372
01-Feb-22,two wheelers,BEING,1149
01-Feb-22,two wheelers,JITENDRA,583
01-Feb-22,two wheelers,OTHERS,4033
01-Feb-23,two wheelers,OLA ELECTRIC,17762
01-Feb-23,two wheelers,OKINAWA,3848
01-Feb-23,two wheelers,HERO ELECTRIC,5863
01-Feb-23,two wheelers,AMPERE,6003
01-Feb-23,two wheelers,TVS,12671
01-Feb-23,two wheelers,ATHER,10069
01-Feb-23,two wheelers,BAJAJ,2537
01-Feb-23,two wheelers,OKAYA EV,1232
01-Feb-23,two wheelers,REVOLT,79
01-Feb-23,two wheelers,PURE EV,488
01-Feb-23,two wheelers,BEING,337
01-Feb-23,two wheelers,JITENDRA,308
01-Feb-23,two wheelers,OTHERS,4874
01-Feb-24,two wheelers,OLA ELECTRIC,33967
01-Feb-24,two wheelers,TVS,14431
01-Feb-24,two wheelers,ATHER,8957
01-Feb-24,two wheelers,BAJAJ,11603
01-Feb-24,two wheelers,AMPERE,2577
01-Feb-24,two wheelers,OKINAWA,652
01-Feb-24,two wheelers,HERO ELECTRIC,323
01-Feb-24,two wheelers,OKAYA EV,649
01-Feb-24,two wheelers,BGAUSS,1334
01-Feb-24,two wheelers,BATTRE ELECTRIC,219
01-Feb-24,two wheelers,KINETIC GREEN,624
01-Feb-24,two wheelers,REVOLT,473
01-Feb-24,two wheelers,OTHERS,6154
01-Mar-22,two wheelers,HERO ELECTRIC,13652
01-Mar-22,two wheelers,OKINAWA,8586
01-Mar-22,two wheelers,AMPERE,6666
01-Mar-22,two wheelers,ATHER,2232
01-Mar-22,two wheelers,PURE EV,2065
01-Mar-22,two wheelers,OLA ELECTRIC,9143
01-Mar-22,two wheelers,TVS,2391
01-Mar-22,two wheelers,REVOLT,1413
01-Mar-22,two wheelers,BAJAJ,855
01-Mar-22,two wheelers,BEING,1013
01-Mar-22,two wheelers,JITENDRA,1052
01-Mar-22,two wheelers,OTHERS,5330
01-Mar-23,two wheelers,OLA ELECTRIC,22398
01-Mar-23,two wheelers,OKINAWA,4509
01-Mar-23,two wheelers,HERO ELECTRIC,6661
01-Mar-23,two wheelers,AMPERE,9736
01-Mar-23,two wheelers,TVS,16896
01-Mar-23,two wheelers,ATHER,12180
01-Mar-23,two wheelers,BAJAJ,4552
01-Mar-23,two wheelers,OKAYA EV,1765
01-Mar-23,two wheelers,REVOLT,1140
01-Mar-23,two wheelers,PURE EV,584
01-Mar-23,two wheelers,BEING,446
01-Mar-23,two wheelers,JITENDRA,350
01-Mar-23,two wheelers,OTHERS,5089
01-Mar-24,two wheelers,OLA ELECTRIC,44630
01-Mar-24,two wheelers,TVS,26158
01-Mar-24,two wheelers,ATHER,17012
01-Mar-24,two wheelers,BAJAJ,17716
01-Mar-24,two wheelers,AMPERE,3108
01-Mar-24,two wheelers,OKINAWA,673
01-Mar-24,two wheelers,HERO ELECTRIC,316
01-Mar-24,two wheelers,OKAYA EV,1218
01-Mar-24,two wheelers,BGAUSS,3070
01-Mar-24,two wheelers,BATTRE ELECTRIC,625
01-Mar-24,two wheelers,KINETIC GREEN,3915
01-Mar-24,two wheelers,REVOLT,585
01-Mar-24,two wheelers,OTHERS,10579
